nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion,diametro_promedio_km,fecha_procesamiento
54514894,(2025 AA2),26.09,0.0160899605,0.0359782453,False,2025-01-02,13.522628461,1245828.801196944,2026-04-15 20:51:40.360202,0.0260341029,2026-04-15 15:56:41
54514901,(2025 AE2),24.68,0.0308003021,0.0688715693,False,2025-01-02,9.8631484964,7292137.013148898,2026-04-15 20:51:40.360207,0.0498359357,2026-04-15 15:56:41
54514672,(2025 AO1),27.94,0.0068636476,0.0153475826,False,2025-01-02,8.1109076864,527693.187174357,2026-04-15 20:51:40.360213,0.0111056151,2026-04-15 15:56:41
3561029,(2011 GE3),25.88,0.0177237239,0.0396314515,False,2025-01-01,8.3173566881,49668157.47533864,2026-04-15 20:51:40.360219,0.0286775877,2026-04-15 15:56:41
54169408,(2021 NT5),27.12,0.010012787,0.0223892723,False,2025-01-01,8.1996036081,70334863.48525196,2026-04-15 20:51:40.360223,0.01620102965,2026-04-15 15:56:41
54256791,(2022 EQ6),26.21,0.0152249185,0.0340439527,False,2025-01-01,24.3814294261,70563038.69861434,2026-04-15 20:51:40.360228,0.024634435599999997,2026-04-15 15:56:41
54508753,(2024 YV1),26.22,0.0151549664,0.033887535,False,2025-01-01,5.7987642551,14250723.733843775,2026-04-15 20:51:40.360232,0.024521250700000004,2026-04-15 15:56:41
54508761,(2024 YD2),24.87,0.0282198679,0.063101543,False,2025-01-01,8.7690673962,9147401.985409645,2026-04-15 20:51:40.360237,0.04566070545,2026-04-15 15:56:41
54509628,(2024 YY4),26.44,0.0136947774,0.0306224531,False,2025-01-01,4.0085267342,1676103.96014581,2026-04-15 20:51:40.360241,0.02215861525,2026-04-15 15:56:41
54511956,(2024 YZ8),23.68,0.0488151892,0.1091540813,False,2025-01-01,21.4762910009,10850468.268861296,2026-04-15 20:51:40.360246,0.07898463524999999,2026-04-15 15:56:41
54511954,(2024 YY8),28.73,0.004770402,0.0106669431,False,2025-01-01,4.7580939652,1290408.727100352,2026-04-15 20:51:40.360250,0.00771867255,2026-04-15 15:56:41
54513028,(2024 YV10),26.18,0.0154367182,0.0345175513,False,2025-01-01,5.8480710628,8500461.014985574,2026-04-15 20:51:40.360254,0.024977134749999998,2026-04-15 15:56:41
54511964,(2024 YJ9),27.91,0.0069591304,0.0155610887,False,2025-01-01,14.1845754203,1264885.131389663,2026-04-15 20:51:40.360259,0.01126010955,2026-04-15 15:56:41
54514249,(2025 AG1),29.49,0.0033616692,0.0075169209,False,2025-01-01,2.645140072,671017.850013351,2026-04-15 20:51:40.360264,0.00543929505,2026-04-15 15:56:41
54516067,(2025 AC4),24.57,0.0324007435,0.0724502651,False,2025-01-01,15.9737833452,6422853.366077797,2026-04-15 20:51:40.360268,0.052425504299999995,2026-04-15 15:56:41
